image_url,image_location,image_calendar,image_copyright
https://bing.ioliu.cn/photo/TurtleIndianOcean_EN-AU10313307709?force=download,亚洲,2018-07-03,黄昏时浮出水面的绿海龟，印度洋马约特 (© Gabriel Barathieu/Biosphoto/Minden Pictures)
https://bing.ioliu.cn/photo/EtaAquarids_EN-AU10944490288?force=download,"北美洲, 美国, 魔鬼塔国家纪念区",2018-07-02,魔鬼塔国家纪念区上空的宝瓶座流星雨，美国怀俄明州 (© Jason Hatfield/Tandem Stills + Motion)
https://bing.ioliu.cn/photo/HONKONG_ZH-CN11971924406?force=download,北美洲,2018-07-01,今日香港回归纪念日/建党节庆祝香港回归21周年，中国(© Billy H.C. Kwok/Stringer/Getty Images)
https://bing.ioliu.cn/photo/MeteorCrater_EN-AU9993563603?force=download,"北美洲, 美国, 科科尼诺县",2018-06-30,巴林杰陨石坑，美国亚利桑那州 (© Michele Falzone/Alamy)
https://bing.ioliu.cn/photo/AuroraPhotographer_EN-AU10752129713?force=download,"欧洲, 挪威, 罗弗敦群岛",2018-06-29,在乌塔克雷夫海滩拍摄的北极光，挪威 (© David Clapp/Getty Images)
https://bing.ioliu.cn/photo/CompositeBeach_EN-AU10477241178?force=download,"欧洲, 意大利, 利尼亚诺萨比亚多罗",2018-06-28,位于利尼亚诺萨比亚多罗的海滩的合成照片，意大利 (© Rudi Sebastian/plainpicture)
https://bing.ioliu.cn/photo/ConcreteDinosaurs_EN-AU9038296644?force=download,"北美洲, 美国, 霍尔布鲁克",2018-06-27,66号历史公路上的混凝土恐龙及其附近40号州际公路上的卡车 (© Gary Warnimont/Alamy)
https://bing.ioliu.cn/photo/MorondavaBaobab_EN-AU11363642614?force=download,"非洲, 马达加斯加, 穆龙达瓦",2018-06-26,猴面包树大道上的猴面包树在积水中的倒影，马达加斯加梅纳贝区 (© Gabrielle Therin-Weise/Getty Images)
https://bing.ioliu.cn/photo/MODIS_EN-AU13699515239?force=download,亚洲,2018-06-25,太平洋上空纵横交错的船舶轨迹 (© NASA)
https://bing.ioliu.cn/photo/ReichenauSommer_EN-AU10444104319?force=download,"欧洲, 德国, 赖兴瑙岛",2018-06-24,赖兴瑙岛上的圣玛丽圣马古斯教堂，德国巴登-符腾堡州 (© Westend61/Getty Images)
https://bing.ioliu.cn/photo/Europa_EN-AU12048620642?force=download,"南极洲, 南极洲, 佩诺拉海峡",2018-06-23,航行在佩诺拉海峡的欧罗巴帆船，南极洲南极半岛 (© Colin Monteath/Minden Pictures)
https://bing.ioliu.cn/photo/DogWork_EN-AU10032511594?force=download,非洲,2018-06-22,带着你的狗狗一起去上班 (© Getty Images)
https://bing.ioliu.cn/photo/lotus_ZH-CN12081917194?force=download,非洲,2018-06-21,今日夏至夏至到，荷花开(© Adam Jones/DanitaDelimont.com -- All rights reserved)
https://bing.ioliu.cn/photo/WorldRefugeeDay_EN-AU5421237644?force=download,非洲,2018-06-20,2000年到2016年间全球难民的流动情况 (© Map visualization: Records from UNHCR/EarthTime visualization by Carnegie Mellon CREATE Lab)
https://bing.ioliu.cn/photo/CypressPygmyOwl_EN-AU12586622672?force=download,非洲,2018-06-19,栖息在树枝上的山鸺鹠，加拿大不列颠哥伦比亚省赛普拉斯山 (© Connor Stefanison/Minden Pictures)
https://bing.ioliu.cn/photo/DUAN_ZH-CN9451316695?force=download,非洲,2018-06-18,今日端午节参加襄阳龙舟大赛的12只龙舟，中国湖北省襄阳市(© VCG/Getty Images)
https://bing.ioliu.cn/photo/OstrichDad_EN-AU10027687919?force=download,"非洲, 南非, 西开普省",2018-06-17,今日父亲节野外旅行的鸵鸟爸爸与孩子们，南非西开普省 (© Richard Du Toit/Minden Pictures)
https://bing.ioliu.cn/photo/SpainSurfer_EN-AU11271138486?force=download,"欧洲, 西班牙, 特内里费岛",2018-06-16,冲浪者追逐浪潮的鸟瞰图，西班牙加那利群岛特内里费岛 (© Sergio Villalba/Aurora Photos)
https://bing.ioliu.cn/photo/TinyLadybird_EN-AU12806525259?force=download,欧洲,2018-06-15,蘑菇上的七星瓢虫，荷兰阿纳姆 (© Misja Smits/Minden Pictures)
https://bing.ioliu.cn/photo/HenningsvaerFootball_EN-AU7159338322?force=download,"欧洲, 挪威, 亨宁斯韦尔",2018-06-14,亨宁斯韦尔体育场，挪威罗弗敦群岛 (© Nick Fox/Alamy)
https://bing.ioliu.cn/photo/DandelionXray_EN-AU8764727533?force=download,欧洲,2018-06-13,蒲公英花的彩色X射线 (© Arie van 't Riet/Science Photo Library)
https://bing.ioliu.cn/photo/Kiasma_EN-AU13083124808?force=download,"欧洲, 芬兰, 赫尔辛基",2018-06-12,奇亚斯玛当代艺术博物馆，芬兰赫尔辛基 (© Nikolaus Gruenwald/Offset)
https://bing.ioliu.cn/photo/GBRBday_EN-AU12873687095?force=download,"大洋洲, 澳大利亚, 大堡礁",2018-06-11,大堡礁，澳大利亚昆士兰州 (© Dick Sweeney/Gallery Stock)
https://bing.ioliu.cn/photo/PenaNationalPalace_EN-AU11543993811?force=download,"欧洲, 葡萄牙, 辛特拉市",2018-06-10,佩纳宫，葡萄牙辛特拉市 (© Andre Vicente Goncalves/Alamy)
https://bing.ioliu.cn/photo/YarnBombing_EN-AU9558012661?force=download,"欧洲, 英国, 怀特岛",2018-06-09,Gurnard村的毛线轰炸街头艺术，英格兰怀特岛 (© Kuki Waterstone/Alamy)
https://bing.ioliu.cn/photo/WorldOceanDay_EN-AU8399727104?force=download,"北美洲, 美国, 毛伊岛",2018-06-08,"毛伊岛上的绿海龟，美国夏威夷州 (© David Fleetham/Visuals Unlimited, Inc.)"
https://bing.ioliu.cn/photo/WhalePod_EN-AU8062526731?force=download,"北美洲, 美国, 林恩运河",2018-06-07,阿拉斯加州内线航道林恩运河中的座头鲸，美国 (© John Hyde/plainpicture)
https://bing.ioliu.cn/photo/FlyinDrivein_EN-AU11097970692?force=download,"北美洲, 美国, 沃尔镇",2018-06-06,抵达沃尔镇Fly-in Drive-in剧场的观众，美国新泽西州 (© Martha Holmes/Time Life Pictures/Getty Images)
https://bing.ioliu.cn/photo/AuburnBalloons_EN-AU8649124966?force=download,"北美洲, 美国, 奥本",2018-06-05,奥本上方的热气球，美国华盛顿州 (© Taliesin Black-Brown and Ben Cowan/Nimia)
https://bing.ioliu.cn/photo/PJ_EN-AU10859560585?force=download,"大洋洲, 澳大利亚, 悉尼",2018-06-04,塔龙加动物园内的'PJ the Port Jackson Shark'光影雕塑，澳大利亚悉尼 (© Wendell Teodoro/REX/Shutterstock)
https://bing.ioliu.cn/photo/Liverpool_EN-AU13569067979?force=download,"欧洲, 英国, 利物浦",2018-06-03,从默西河上看利物浦，英格兰 (© Alan Novelli/Alamy)
https://bing.ioliu.cn/photo/R2R2R_EN-AU10372399721?force=download,"北美洲, 美国, 大峡谷国家公园",2018-06-02,大峡谷国家公园南凯巴布步道的赛跑者，美国亚利桑那州 (© Jason J. Hatfield/Tandem Stills + Motion)
https://bing.ioliu.cn/photo/happychildday_ZH-CN9412524114?force=download,北美洲,2018-06-01,六一儿童节孩子们在泳池嬉戏，中国九江(© Visual China Group/Getty)
https://bing.ioliu.cn/photo/MooseLakeGrass_EN-AU11940305772?force=download,北美洲,2018-05-31,湖边的草地，美国明尼苏达州 (© Jim Brandenburg/Minden Pictures)
